GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
p53 pathway	EP300	0.0	Consolidated-Pathways-2013	
p53 pathway	GSK3B	0.0	Consolidated-Pathways-2013	
p53 pathway	KAT2B	0.0	Consolidated-Pathways-2013	
p53 pathway	MAPK8	0.0	Consolidated-Pathways-2013	
p53 pathway	MDM2	0.0	Consolidated-Pathways-2013	
p53 pathway	MDM4	0.0	Consolidated-Pathways-2013	
p53 pathway	PPP2CA	0.0	Consolidated-Pathways-2013	
p53 pathway	RCHY1	0.0	Consolidated-Pathways-2013	
p53 pathway	RFWD2	0.0	Consolidated-Pathways-2013	
p53 pathway	TP53AIP1	0.0	Consolidated-Pathways-2013	
p53 pathway	USP7	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	11200	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	472	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	5728	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	7157	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	841	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	8493	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	APAF1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	ATR	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	BAI1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	BAX	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	BBC3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	BID	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CASP3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CASP9	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNB1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNB2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNB3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCND1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCND2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCND3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNE1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNE2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNG1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CCNG2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CD82	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CDK1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CDK2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CDK4	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CDK6	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CDKN1A	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CDKN2A	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CHEK1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	CYCS	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	DDB2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	EI24	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	FAS	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	GADD45A	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	GADD45B	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	GADD45G	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	GTSE1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	IGF1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	IGFBP3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	MDM2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	MDM4	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	PERP	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	PIDD	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	PMAIP1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	RCHY1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	RFWD2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	RPRM	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	RRM2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	RRM2B	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SERPINB5	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SERPINE1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SESN1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SESN2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SESN3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SFN	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SHISA5	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	SIAH1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	STEAP3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	THBS1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	TNFRSF10B	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	TP53AIP1	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	TP53I3	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	TP73	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	TSC2	0.0	Consolidated-Pathways-2013	
p53 signaling pathway	ZMAT3	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	5290	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	5888	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	675	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	7157	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	AKT1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	BCL2L1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	CASP9	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	CCND1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	CDK4	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	CDK6	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	CDKN2A	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	MAPK8	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	NFKB1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	PIK3CG	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	PIK3R1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	PIK3R3	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	RELA	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	SMAD4	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	STAT1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	TGFB1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	TGFB2	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	TGFB3	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	TGFBR1	0.0	Consolidated-Pathways-2013	
Pancreatic cancer	TGFBR2	0.0	Consolidated-Pathways-2013	
Pathways in cancer	367	0.0	Consolidated-Pathways-2013	
Pathways in cancer	5290	0.0	Consolidated-Pathways-2013	
Pathways in cancer	5728	0.0	Consolidated-Pathways-2013	
Pathways in cancer	5888	0.0	Consolidated-Pathways-2013	
Pathways in cancer	675	0.0	Consolidated-Pathways-2013	
Pathways in cancer	7157	0.0	Consolidated-Pathways-2013	
Pathways in cancer	841	0.0	Consolidated-Pathways-2013	
Pathways in cancer	ABL1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	AKT1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	APPL1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	BAX	0.0	Consolidated-Pathways-2013	
Pathways in cancer	BCL2	0.0	Consolidated-Pathways-2013	
Pathways in cancer	BCL2L1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	BID	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CASP3	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CASP9	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CCND1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CCNE1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CCNE2	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CDK2	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CDK4	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CDK6	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CDKN1A	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CDKN1B	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CDKN2A	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CREBBP	0.0	Consolidated-Pathways-2013	
Pathways in cancer	CYCS	0.0	Consolidated-Pathways-2013	
Pathways in cancer	EP300	0.0	Consolidated-Pathways-2013	
Pathways in cancer	FADD	0.0	Consolidated-Pathways-2013	
Pathways in cancer	FAS	0.0	Consolidated-Pathways-2013	
Pathways in cancer	FOXO1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	GSK3B	0.0	Consolidated-Pathways-2013	
Pathways in cancer	IGF1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	JUN	0.0	Consolidated-Pathways-2013	
Pathways in cancer	MAPK8	0.0	Consolidated-Pathways-2013	
Pathways in cancer	MDM2	0.0	Consolidated-Pathways-2013	
Pathways in cancer	MTOR	0.0	Consolidated-Pathways-2013	
Pathways in cancer	MYC	0.0	Consolidated-Pathways-2013	
Pathways in cancer	NCOA4	0.0	Consolidated-Pathways-2013	
Pathways in cancer	NFKB1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	NFKBIA	0.0	Consolidated-Pathways-2013	
Pathways in cancer	PDGFRB	0.0	Consolidated-Pathways-2013	
Pathways in cancer	PIK3CG	0.0	Consolidated-Pathways-2013	
Pathways in cancer	PIK3R1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	PIK3R3	0.0	Consolidated-Pathways-2013	
Pathways in cancer	PML	0.0	Consolidated-Pathways-2013	
Pathways in cancer	RELA	0.0	Consolidated-Pathways-2013	
Pathways in cancer	SMAD4	0.0	Consolidated-Pathways-2013	
Pathways in cancer	STAT1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	TGFB1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	TGFB2	0.0	Consolidated-Pathways-2013	
Pathways in cancer	TGFB3	0.0	Consolidated-Pathways-2013	
Pathways in cancer	TGFBR1	0.0	Consolidated-Pathways-2013	
Pathways in cancer	TGFBR2	0.0	Consolidated-Pathways-2013	
Prostate cancer	367	0.0	Consolidated-Pathways-2013	
Prostate cancer	5290	0.0	Consolidated-Pathways-2013	
Prostate cancer	5728	0.0	Consolidated-Pathways-2013	
Prostate cancer	7157	0.0	Consolidated-Pathways-2013	
Prostate cancer	AKT1	0.0	Consolidated-Pathways-2013	
Prostate cancer	BCL2	0.0	Consolidated-Pathways-2013	
Prostate cancer	CASP9	0.0	Consolidated-Pathways-2013	
Prostate cancer	CCND1	0.0	Consolidated-Pathways-2013	
Prostate cancer	CCNE1	0.0	Consolidated-Pathways-2013	
Prostate cancer	CCNE2	0.0	Consolidated-Pathways-2013	
Prostate cancer	CDK2	0.0	Consolidated-Pathways-2013	
Prostate cancer	CDKN1A	0.0	Consolidated-Pathways-2013	
Prostate cancer	CDKN1B	0.0	Consolidated-Pathways-2013	
Prostate cancer	CREBBP	0.0	Consolidated-Pathways-2013	
Prostate cancer	EP300	0.0	Consolidated-Pathways-2013	
Prostate cancer	FOXO1	0.0	Consolidated-Pathways-2013	
Prostate cancer	GSK3B	0.0	Consolidated-Pathways-2013	
Prostate cancer	IGF1	0.0	Consolidated-Pathways-2013	
Prostate cancer	MDM2	0.0	Consolidated-Pathways-2013	
Prostate cancer	MTOR	0.0	Consolidated-Pathways-2013	
Prostate cancer	NFKB1	0.0	Consolidated-Pathways-2013	
Prostate cancer	NFKBIA	0.0	Consolidated-Pathways-2013	
Prostate cancer	PDGFRB	0.0	Consolidated-Pathways-2013	
Prostate cancer	PIK3CG	0.0	Consolidated-Pathways-2013	
Prostate cancer	PIK3R1	0.0	Consolidated-Pathways-2013	
Prostate cancer	PIK3R3	0.0	Consolidated-Pathways-2013	
Prostate cancer	RELA	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	367	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	5290	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	672	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	6794	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	7157	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	AKT1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CCNB2	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CCND1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CCNE1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CDC25A	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CDK1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CDK2	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CDK4	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CDK6	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CDKN1A	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	CREBBP	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	DAXX	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	EP300	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	EWSR1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	FOXO1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	GSK3B	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	JUN	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	KAT2B	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	MAPK8	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	MTOR	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	MYC	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	NFKB1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	NFKBIA	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	PIK3R1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	PML	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	PPP2CA	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	RPS6KB1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	RUNX2	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	SMAD4	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TGFB1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TGFB2	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TGFB3	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TGFBR1	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TGFBR2	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TGFBR3	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	TP73	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	UBE2D3	0.0	Consolidated-Pathways-2013	
TGF_beta_Receptor	UBE2I	0.0	Consolidated-Pathways-2013	
5290	9821	0.004310417908803302	Co-expression	Bahr-Bowler-2013
APAF1	LIG4	0.0011627823473507701	Co-expression	Bahr-Bowler-2013
APPL1	PALB2	0.002856806455229013	Co-expression	Bahr-Bowler-2013
ATG13	RPS6KA1	0.0035715621168808053	Co-expression	Bahr-Bowler-2013
BCAP31	EWSR1	0.0037909144426277867	Co-expression	Bahr-Bowler-2013
BCAP31	SHISA5	0.0016746714229551372	Co-expression	Bahr-Bowler-2013
BCAP31	XRCC6	0.0010579675995293655	Co-expression	Bahr-Bowler-2013
CASP3	CSTF1	0.0034056614362360633	Co-expression	Bahr-Bowler-2013
CCND2	UNG	0.0029887666945326336	Co-expression	Bahr-Bowler-2013
CCND3	RAD9A	0.0035443577386128945	Co-expression	Bahr-Bowler-2013
CCND3	RELA	0.0030603809262766493	Co-expression	Bahr-Bowler-2013
CCND3	SHISA5	0.0028173150016572385	Co-expression	Bahr-Bowler-2013
CD79B	CD79A	0.006852924301753946	Co-expression	Bahr-Bowler-2013
CDC25B	MDC1	0.003549578399633363	Co-expression	Bahr-Bowler-2013
CDC34	6794	0.006738394551016032	Co-expression	Bahr-Bowler-2013
CDC37	ABL1	0.0022950339811303737	Co-expression	Bahr-Bowler-2013
CDC37	EWSR1	0.00312049489795523	Co-expression	Bahr-Bowler-2013
CDC37	NFKB1	0.002642624462417335	Co-expression	Bahr-Bowler-2013
CDC37	TSC2	9.47384287551026E-4	Co-expression	Bahr-Bowler-2013
CDC37	XRCC6	7.50327376683593E-4	Co-expression	Bahr-Bowler-2013
CDK4	CDK2	0.0027410852163353237	Co-expression	Bahr-Bowler-2013
CDK4	KDM1A	0.002479706598634081	Co-expression	Bahr-Bowler-2013
CDK4	UBE2L3	0.003089572386093153	Co-expression	Bahr-Bowler-2013
CDK4	XRCC6	7.140640893884874E-4	Co-expression	Bahr-Bowler-2013
CDK6	PIK3R1	0.006399704094161818	Co-expression	Bahr-Bowler-2013
CDKN1A	GADD45A	0.002622185115132119	Co-expression	Bahr-Bowler-2013
CDKN1A	NFKBIA	0.002491612702037449	Co-expression	Bahr-Bowler-2013
CEBPB	CDKN1A	0.002825608601924259	Co-expression	Bahr-Bowler-2013
CENPC	MAPK8	0.0052857340641672525	Co-expression	Bahr-Bowler-2013
CREBBP	EP300	0.005184525455320263	Co-expression	Bahr-Bowler-2013
CREBBP	MDM4	0.004368561477426629	Co-expression	Bahr-Bowler-2013
CREBBP	PRKDC	0.0026792293662207577	Co-expression	Bahr-Bowler-2013
CSF2RB	TNFRSF10B	0.0028960758214947382	Co-expression	Bahr-Bowler-2013
CSTF1	8493	0.0021839424871641796	Co-expression	Bahr-Bowler-2013
CYCS	PCNA	0.0046813751055617405	Co-expression	Bahr-Bowler-2013
DDB2	RAD9A	0.003562553389636202	Co-expression	Bahr-Bowler-2013
EP300	PRKDC	0.002511039928121577	Co-expression	Bahr-Bowler-2013
FOXO1	CDK6	0.006894037080441426	Co-expression	Bahr-Bowler-2013
GADD45B	CDKN1A	0.0029481460777012474	Co-expression	Bahr-Bowler-2013
GADD45B	CEBPB	0.003571463216341352	Co-expression	Bahr-Bowler-2013
GADD45B	GADD45A	0.0038936741513553672	Co-expression	Bahr-Bowler-2013
GADD45B	NFKBIA	0.0034289299826809542	Co-expression	Bahr-Bowler-2013
GADD45B	PMAIP1	0.00465038792796233	Co-expression	Bahr-Bowler-2013
KAT2B	ATR	0.0028882325405478896	Co-expression	Bahr-Bowler-2013
KAT2B	MDM2	0.005091757919734034	Co-expression	Bahr-Bowler-2013
KAT2B	TOPBP1	0.0032193050224179134	Co-expression	Bahr-Bowler-2013
KDM1A	XRCC6	0.0017920853826202318	Co-expression	Bahr-Bowler-2013
LIG4	FANCL	0.0025999020628200017	Co-expression	Bahr-Bowler-2013
MAPK8	5290	0.005210974034495254	Co-expression	Bahr-Bowler-2013
MDC1	472	0.005464837089013516	Co-expression	Bahr-Bowler-2013
MDM2	9821	0.005185375765875441	Co-expression	Bahr-Bowler-2013
MDM4	POU2F1	0.005574714417925095	Co-expression	Bahr-Bowler-2013
PCNA	H2AFX	0.004507467577693363	Co-expression	Bahr-Bowler-2013
PCNA	RPA3	0.0030362015000112946	Co-expression	Bahr-Bowler-2013
PERP	RUNX2	0.0076058266037250695	Co-expression	Bahr-Bowler-2013
PMAIP1	CDKN1A	0.0031672069687225042	Co-expression	Bahr-Bowler-2013
PMAIP1	NFKBIA	0.003906278703242978	Co-expression	Bahr-Bowler-2013
PRKDC	ATR	0.0016410521157620918	Co-expression	Bahr-Bowler-2013
RELA	RAD9A	0.0021545014351578725	Co-expression	Bahr-Bowler-2013
RNF14	LIG4	0.0029217229551739853	Co-expression	Bahr-Bowler-2013
RNF8	PALB2	0.0035030907570133087	Co-expression	Bahr-Bowler-2013
RNF8	RPA2	0.0035696897365495653	Co-expression	Bahr-Bowler-2013
RPS6KA1	PTK2B	0.0033084474728465032	Co-expression	Bahr-Bowler-2013
RPS6KB1	9821	0.007231031012657331	Co-expression	Bahr-Bowler-2013
RPS6KB1	ATR	0.003381655232217325	Co-expression	Bahr-Bowler-2013
RPS6KB1	CAB39	0.004930988362934991	Co-expression	Bahr-Bowler-2013
RPS6KB1	CENPC	0.005603579915608611	Co-expression	Bahr-Bowler-2013
RRM2	H2AFX	0.006226001389895858	Co-expression	Bahr-Bowler-2013
RRM2	PCNA	0.0044252279752713805	Co-expression	Bahr-Bowler-2013
RRM2B	CCNG2	0.005044001833804724	Co-expression	Bahr-Bowler-2013
RUNX2	PRKDC	0.0028898427466680352	Co-expression	Bahr-Bowler-2013
SHFM1	SHISA5	0.0031043027143687085	Co-expression	Bahr-Bowler-2013
SHISA5	CDC34	0.0030733582571206585	Co-expression	Bahr-Bowler-2013
SIAH1	CCNG2	0.0060070034089810586	Co-expression	Bahr-Bowler-2013
SIAH1	RRM2B	0.003969626254393434	Co-expression	Bahr-Bowler-2013
SMAD5	ATR	0.003866319374042253	Co-expression	Bahr-Bowler-2013
SMARCD3	TP53I3	0.003120999641832615	Co-expression	Bahr-Bowler-2013
STRADB	NCOA4	0.004971879346921568	Co-expression	Bahr-Bowler-2013
TGFB1	CCND3	0.004707490407475084	Co-expression	Bahr-Bowler-2013
TGFB1	CDKN2D	0.003319394123975119	Co-expression	Bahr-Bowler-2013
TGFB1	RELA	0.0025545365609360477	Co-expression	Bahr-Bowler-2013
TGFB1	SHISA5	0.0020780614130383335	Co-expression	Bahr-Bowler-2013
TGFBR3	PERP	0.0027771941544157508	Co-expression	Bahr-Bowler-2013
TGFBR3	YWHAQ	0.0034369625791574655	Co-expression	Bahr-Bowler-2013
THBS1	CDKN1A	0.004216614843604281	Co-expression	Bahr-Bowler-2013
THBS1	GADD45A	0.006241697315154238	Co-expression	Bahr-Bowler-2013
THBS1	GADD45B	0.004845413939660509	Co-expression	Bahr-Bowler-2013
TMF1	LIG4	0.0030171148663174713	Co-expression	Bahr-Bowler-2013
TNFAIP3	CDKN1A	0.002002575283695766	Co-expression	Bahr-Bowler-2013
TNFAIP3	CDKN2D	0.002707776509505087	Co-expression	Bahr-Bowler-2013
TNFAIP3	GADD45A	0.002961466634381879	Co-expression	Bahr-Bowler-2013
TNFAIP3	GADD45B	0.002662834992478136	Co-expression	Bahr-Bowler-2013
TNFAIP3	NFKBIA	0.0024007863089918428	Co-expression	Bahr-Bowler-2013
TNFAIP3	PIK3R1	0.0032279266330539473	Co-expression	Bahr-Bowler-2013
TNFAIP3	THBS1	0.0034788314495430113	Co-expression	Bahr-Bowler-2013
TOPBP1	PRKDC	0.0019523437582286709	Co-expression	Bahr-Bowler-2013
TSC2	ABL1	0.0024117470051674816	Co-expression	Bahr-Bowler-2013
TSC2	CCND3	0.002278311889623884	Co-expression	Bahr-Bowler-2013
TSC2	NFKB1	0.0022418696742818093	Co-expression	Bahr-Bowler-2013
TSC2	RAD9A	0.0015967152672699914	Co-expression	Bahr-Bowler-2013
TSC2	RELA	0.0013309803441504805	Co-expression	Bahr-Bowler-2013
UBE2I	CDK4	0.0025829075559222975	Co-expression	Bahr-Bowler-2013
UBE2I	XRCC6	0.0020211368374545356	Co-expression	Bahr-Bowler-2013
UBE2L3	XRCC6	0.0024470063642055965	Co-expression	Bahr-Bowler-2013
XBP1	PERP	0.00598559758689758	Co-expression	Bahr-Bowler-2013
XBP1	RRM2	0.005582711316573757	Co-expression	Bahr-Bowler-2013
XRCC4	RFWD2	0.007289065146955939	Co-expression	Bahr-Bowler-2013
XRCC6	EWSR1	0.002475742676717015	Co-expression	Bahr-Bowler-2013
YWHAH	NFKB1	0.006149963846155069	Co-expression	Bahr-Bowler-2013
YWHAQ	PERP	0.006224156807053518	Co-expression	Bahr-Bowler-2013
ZMAT3	PRKDC	0.003530246562826932	Co-expression	Bahr-Bowler-2013
ZMAT3	TOPBP1	0.004220433633368777	Co-expression	Bahr-Bowler-2013
5290	8202	0.0123692991324375	Co-expression	Boldrick-Relman-2002
5888	580	0.008976418624633845	Co-expression	Boldrick-Relman-2002
ATG13	FANCC	0.014130464801102142	Co-expression	Boldrick-Relman-2002
ATR	8202	0.008847252231320508	Co-expression	Boldrick-Relman-2002
ATR	RAD50	0.01022591859640239	Co-expression	Boldrick-Relman-2002
BAG1	PMAIP1	0.012490982561701468	Co-expression	Boldrick-Relman-2002
BAG1	PPP2CA	0.006141223840424058	Co-expression	Boldrick-Relman-2002
BCAP31	POU2F1	0.002133143528470545	Co-expression	Boldrick-Relman-2002
BCAP31	RAD51B	0.002253224476467412	Co-expression	Boldrick-Relman-2002
BCAP31	RFWD2	0.002324550900815658	Co-expression	Boldrick-Relman-2002
BCL2	CDK6	0.012758475272794988	Co-expression	Boldrick-Relman-2002
BCL2	MDM4	0.013385422562120166	Co-expression	Boldrick-Relman-2002
BCL2L1	TNFRSF10B	0.003816882896670314	Co-expression	Boldrick-Relman-2002
BLM	672	0.008525575769824842	Co-expression	Boldrick-Relman-2002
BLM	CDC25A	0.010932055084091119	Co-expression	Boldrick-Relman-2002
BLM	RNF8	0.006516673574470486	Co-expression	Boldrick-Relman-2002
BLM	WEE1	0.009223224330448745	Co-expression	Boldrick-Relman-2002
CASP3	BRIP1	0.017029688063952685	Co-expression	Boldrick-Relman-2002
CCNB1	6794	0.004519489544444925	Co-expression	Boldrick-Relman-2002
CCNB1	CDK1	0.0022714472665988036	Co-expression	Boldrick-Relman-2002
CCNB1	CDK2	0.00353622490046652	Co-expression	Boldrick-Relman-2002
CCNB1	CHEK1	0.003568882491361852	Co-expression	Boldrick-Relman-2002
CCNB1	FANCC	0.003162561992009614	Co-expression	Boldrick-Relman-2002
CCNB1	FANCG	0.0038715050967314513	Co-expression	Boldrick-Relman-2002
CCNB1	PRKDC	0.003456634997533762	Co-expression	Boldrick-Relman-2002
CCNB1	RPA3	0.00375740438639699	Co-expression	Boldrick-Relman-2002
CCNB2	5888	0.008189640426644402	Co-expression	Boldrick-Relman-2002
CCNB2	BCL2L1	0.008439329587710896	Co-expression	Boldrick-Relman-2002
CCNB2	CDKN2D	0.010748257391453929	Co-expression	Boldrick-Relman-2002
CCNB2	PCNA	0.004343614950564745	Co-expression	Boldrick-Relman-2002
CCNB3	472	0.005292171299439549	Co-expression	Boldrick-Relman-2002
CCND2	CDKN1A	0.006974088793037855	Co-expression	Boldrick-Relman-2002
CCND3	H2AFX	0.006554027058946429	Co-expression	Boldrick-Relman-2002
CCND3	JUN	0.007051404217301492	Co-expression	Boldrick-Relman-2002
CCND3	PCNA	0.0037999238930271732	Co-expression	Boldrick-Relman-2002
CCND3	PLK1	0.0031447196858636188	Co-expression	Boldrick-Relman-2002
CCNE1	PCNA	0.005716867254330959	Co-expression	Boldrick-Relman-2002
CCNE2	CCNB1	0.0034927836722242387	Co-expression	Boldrick-Relman-2002
CCNE2	FANCC	0.008895679855530832	Co-expression	Boldrick-Relman-2002
CCNE2	PLK1	0.00390281094159895	Co-expression	Boldrick-Relman-2002
CCNG1	BRIP1	0.010977573640310354	Co-expression	Boldrick-Relman-2002
CCNG1	CCNB1	0.0030332631538723086	Co-expression	Boldrick-Relman-2002
CCNG1	PCNA	0.004178292468346867	Co-expression	Boldrick-Relman-2002
CCNG1	PLK1	0.0036774855619675557	Co-expression	Boldrick-Relman-2002
